year,url,file,local_file_date
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-1996_freq-A_px-H1_pub-20060109_fmt-csv_ex-20190511.zip,2006-01-09
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-1997_freq-A_px-H1_pub-20060109_fmt-csv_ex-20190513.zip,2006-01-09
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-1998_freq-A_px-H1_pub-20060109_fmt-csv_ex-20190512.zip,2006-01-09
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-1999_freq-A_px-H1_pub-20051228_fmt-csv_ex-20190513.zip,2005-12-28
2000,https://comtrade.un.org/api/get/bulk/C/A/2000/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2000_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221229.zip,2022-09-02
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2001_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221229.zip,2022-09-07
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2002_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221229.zip,2022-09-07
2003,https://comtrade.un.org/api/get/bulk/C/A/2003/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2003_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221229.zip,2022-09-07
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2004_freq-A_px-H1_pub-20221216_fmt-csv_ex-20221229.zip,2022-09-07
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2005_freq-A_px-H1_pub-20221221_fmt-csv_ex-20221229.zip,2022-09-21
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2006_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221228.zip,2022-09-01
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2007_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221229.zip,2022-08-30
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2008_freq-A_px-H1_pub-20221226_fmt-csv_ex-20221228.zip,2022-09-19
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2009_freq-A_px-H1_pub-20221221_fmt-csv_ex-20221229.zip,2022-09-22
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2010_freq-A_px-H1_pub-20221215_fmt-csv_ex-20221229.zip,2022-08-19
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H1?token=REPLACE_TOKEN,hs-rev1996/zip/type-C_r-ALL_ps-2011_freq-A_px-H1_pub-20221215_fmt-csv_ex-20221229.zip,2022-08-18
