year,url,file,local_file_date
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2010_freq-A_px-S2_pub-20210705_fmt-csv_ex-20210729.zip,2021-06-09
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2012_freq-A_px-S2_pub-20210710_fmt-csv_ex-20210729.zip,2021-06-09
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2013_freq-A_px-S2_pub-20210705_fmt-csv_ex-20210729.zip,2021-06-09
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2014_freq-A_px-S2_pub-20210709_fmt-csv_ex-20210729.zip,2021-06-09
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2015_freq-A_px-S2_pub-20210705_fmt-csv_ex-20210729.zip,2021-06-22
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2016_freq-A_px-S2_pub-20210719_fmt-csv_ex-20210728.zip,2021-06-12
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2017_freq-A_px-S2_pub-20210719_fmt-csv_ex-20210729.zip,2021-06-12
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2018_freq-A_px-S2_pub-20210719_fmt-csv_ex-20210728.zip,2021-06-12
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2019_freq-A_px-S2_pub-20210716_fmt-csv_ex-20210730.zip,2021-06-24
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/S2?token=REPLACE_TOKEN,sitc-rev2/zip/type-C_r-ALL_ps-2020_freq-A_px-S2_pub-20210709_fmt-csv_ex-20210729.zip,2021-06-30
