year,url,file,local_file_date
1988,https://comtrade.un.org/api/get/bulk/C/A/1988/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1988_freq-A_px-S3_pub-20051214_fmt-csv_ex-20190511.zip,2005-12-14
1989,https://comtrade.un.org/api/get/bulk/C/A/1989/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1989_freq-A_px-S3_pub-20051219_fmt-csv_ex-20190513.zip,2005-12-19
1990,https://comtrade.un.org/api/get/bulk/C/A/1990/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1990_freq-A_px-S3_pub-20051222_fmt-csv_ex-20190512.zip,2005-12-22
1991,https://comtrade.un.org/api/get/bulk/C/A/1991/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1991_freq-A_px-S3_pub-20051228_fmt-csv_ex-20190513.zip,2005-12-28
1992,https://comtrade.un.org/api/get/bulk/C/A/1992/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1992_freq-A_px-S3_pub-20070523_fmt-csv_ex-20190512.zip,2007-05-23
1993,https://comtrade.un.org/api/get/bulk/C/A/1993/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1993_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190511.zip,2006-01-10
1994,https://comtrade.un.org/api/get/bulk/C/A/1994/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1994_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1995,https://comtrade.un.org/api/get/bulk/C/A/1995/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1995_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1996_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190513.zip,2006-01-10
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1997_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190512.zip,2006-01-10
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1998_freq-A_px-S3_pub-20060110_fmt-csv_ex-20190513.zip,2006-01-10
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/S3?token=REPLACE_TOKEN,sitc-rev3/zip/type-C_r-ALL_ps-1999_freq-A_px-S3_pub-20051228_fmt-csv_ex-20190512.zip,2005-12-28
