year,url,file,local_file_date
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2002_freq-A_px-H2_pub-20210905_fmt-csv_ex-20211001.zip,2021-09-05
2003,https://comtrade.un.org/api/get/bulk/C/A/2003/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2003_freq-A_px-H2_pub-20211001_fmt-csv_ex-20211002.zip,2021-10-01
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2004_freq-A_px-H2_pub-20210905_fmt-csv_ex-20211002.zip,2021-09-05
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2005_freq-A_px-H2_pub-20210802_fmt-csv_ex-20210828.zip,2021-08-02
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2006_freq-A_px-H2_pub-20210905_fmt-csv_ex-20211002.zip,2021-09-05
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2007_freq-A_px-H2_pub-20210803_fmt-csv_ex-20210827.zip,2021-08-03
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2008_freq-A_px-H2_pub-20210609_fmt-csv_ex-20210703.zip,2021-06-09
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2009_freq-A_px-H2_pub-20210802_fmt-csv_ex-20210827.zip,2021-08-02
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2010_freq-A_px-H2_pub-20210705_fmt-csv_ex-20210729.zip,2021-07-05
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2011_freq-A_px-H2_pub-20210929_fmt-csv_ex-20211002.zip,2021-09-29
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2012_freq-A_px-H2_pub-20210929_fmt-csv_ex-20211002.zip,2021-09-29
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2013_freq-A_px-H2_pub-20210929_fmt-csv_ex-20211002.zip,2021-09-29
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2014_freq-A_px-H2_pub-20210929_fmt-csv_ex-20211001.zip,2021-09-29
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2015_freq-A_px-H2_pub-20210927_fmt-csv_ex-20211002.zip,2021-09-27
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2016_freq-A_px-H2_pub-20210810_fmt-csv_ex-20210827.zip,2021-08-10
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2017_freq-A_px-H2_pub-20211001_fmt-csv_ex-20211002.zip,2021-10-01
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2018_freq-A_px-H2_pub-20211001_fmt-csv_ex-20211029.zip,2021-10-01
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2019_freq-A_px-H2_pub-20211028_fmt-csv_ex-20211028.zip,2021-10-28
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H2?token=REPLACE_TOKEN,hs-rev2002/zip/type-C_r-ALL_ps-2020_freq-A_px-H2_pub-20211028_fmt-csv_ex-20211029.zip,2021-10-28
