year,url,file,local_file_date
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2007_freq-A_px-H3_pub-20221226_fmt-csv_ex-20221229.zip,2022-08-30
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2008_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221229.zip,2022-09-19
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2009_freq-A_px-H3_pub-20221216_fmt-csv_ex-20221229.zip,2022-09-22
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2010_freq-A_px-H3_pub-20221025_fmt-csv_ex-20221029.zip,2022-08-19
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2011_freq-A_px-H3_pub-20220818_fmt-csv_ex-20220825.zip,2022-08-18
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2012_freq-A_px-H3_pub-20220825_fmt-csv_ex-20220826.zip,2022-08-25
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2013_freq-A_px-H3_pub-20221219_fmt-csv_ex-20221229.zip,2022-08-23
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2014_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221229.zip,2022-09-09
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2015_freq-A_px-H3_pub-20221221_fmt-csv_ex-20221229.zip,2022-09-14
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2016_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221229.zip,2022-09-16
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2017_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221229.zip,2022-09-14
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2018_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221229.zip,2022-09-14
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2019_freq-A_px-H3_pub-20221222_fmt-csv_ex-20221229.zip,2022-09-14
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H3?token=REPLACE_TOKEN,hs-rev2007/zip/type-C_r-ALL_ps-2020_freq-A_px-H3_pub-20221215_fmt-csv_ex-20221228.zip,2022-09-14
