year,url,file,local_file_date
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2015_freq-A_px-H4_pub-20220204_fmt-csv_ex-20220224.zip,2022-02-04
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2016_freq-A_px-H4_pub-20211209_fmt-csv_ex-20211223.zip,2021-12-09
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2017_freq-A_px-H4_pub-20220223_fmt-csv_ex-20220224.zip,2022-02-23
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2018_freq-A_px-H4_pub-20220215_fmt-csv_ex-20220224.zip,2022-02-15
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2019_freq-A_px-H4_pub-20220223_fmt-csv_ex-20220224.zip,2022-02-23
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2020_freq-A_px-H4_pub-20220219_fmt-csv_ex-20220224.zip,2022-02-19
