year,url,file,local_file_date
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2012_freq-A_px-H4_pub-20230320_fmt-csv_ex-20230325.zip,2023-03-20
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2013_freq-A_px-H4_pub-20230210_fmt-csv_ex-20230224.zip,2023-02-10
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2014_freq-A_px-H4_pub-20230320_fmt-csv_ex-20230325.zip,2023-03-20
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2015_freq-A_px-H4_pub-20230210_fmt-csv_ex-20230325.zip,2023-02-10
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2016_freq-A_px-H4_pub-20230320_fmt-csv_ex-20230325.zip,2023-03-20
2017,https://comtrade.un.org/api/get/bulk/C/A/2017/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2017_freq-A_px-H4_pub-20230226_fmt-csv_ex-20230324.zip,2023-02-26
2018,https://comtrade.un.org/api/get/bulk/C/A/2018/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2018_freq-A_px-H4_pub-20230323_fmt-csv_ex-20230325.zip,2023-03-23
2019,https://comtrade.un.org/api/get/bulk/C/A/2019/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2019_freq-A_px-H4_pub-20230323_fmt-csv_ex-20230324.zip,2023-03-23
2020,https://comtrade.un.org/api/get/bulk/C/A/2020/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2020_freq-A_px-H4_pub-20230323_fmt-csv_ex-20230325.zip,2023-03-23
2021,https://comtrade.un.org/api/get/bulk/C/A/2021/ALL/H4?token=REPLACE_TOKEN,hs-rev2012/zip/type-C_r-ALL_ps-2021_freq-A_px-H4_pub-20230322_fmt-csv_ex-20230324.zip,2023-03-22
